N         | 100        | 1k         | 10k        | 20k        | 40k        |
----------------------------------------------------------------------------
Sequencial| 0.00002615 | 0.00331613 | 0.40106914 | 1.59708584 | 6.84871234 |
1 CPU     | 0.01104107 | 0.01226534 | 0.19792684 | 0.88899001 | 3.61060399 |
2 CPU     | 0.00989958 | 0.01079670 | 0.19040410 | 0.76414840 | 3.53397525 |
4 CPU     | 0.01009802 | 0.01148054 | 0.19314726 | 0.76624750 | 3.68920669 |
8 CPU     | 0.01200978 | 0.01295483 | 0.22748632 | 0.81530320 | 3.51049244 |
16 CPU    | 0.00980348 | 0.01165512 | 0.18977192 | 0.77188757 | 3.73221870 |
Sequencial| 0.00002883 | 0.00311020 | 0.35570779 | 1.48766611 | 6.74364461 |
1 CPU     | 0.00990915 | 0.01168130 | 0.19009994 | 0.74822689 | 3.54594166 |
2 CPU     | 0.01006345 | 0.01207593 | 0.19191943 | 0.76269727 | 3.76591325 |
4 CPU     | 0.00989248 | 0.01183956 | 0.22852760 | 0.76201891 | 3.73178488 |
8 CPU     | 0.00975925 | 0.01157174 | 0.19540027 | 0.73637263 | 3.49331780 |
16 CPU    | 0.00982619 | 0.01163611 | 0.19975378 | 0.74351388 | 3.54741230 |
Sequencial| 0.00002599 | 0.00297868 | 0.36030186 | 1.47227902 | 6.87282927 |
1 CPU     | 0.00980406 | 0.01186500 | 0.18885726 | 0.74652359 | 3.49321235 |
2 CPU     | 0.00996900 | 0.01168613 | 0.19263862 | 0.75351152 | 3.62824006 |
4 CPU     | 0.00954448 | 0.01144399 | 0.18442474 | 0.76247662 | 3.74782448 |
8 CPU     | 0.00973866 | 0.01137698 | 0.18865913 | 0.80911716 | 3.63967500 |
16 CPU    | 0.01056422 | 0.01481155 | 0.19385807 | 0.75068740 | 3.78328535 |
Sequencial| 0.00002602 | 0.00301698 | 0.39620415 | 1.59619112 | 6.70993654 |
1 CPU     | 0.00972611 | 0.01193997 | 0.19175445 | 0.77285350 | 3.57119384 |
2 CPU     | 0.01094871 | 0.01158716 | 0.19392676 | 0.76130509 | 3.67268778 |
4 CPU     | 0.00915509 | 0.01191038 | 0.19241698 | 0.74775343 | 3.75000961 |
8 CPU     | 0.00971262 | 0.01168404 | 0.18989852 | 0.74619858 | 3.52650018 |
16 CPU    | 0.01004212 | 0.01154057 | 0.18885808 | 0.76859973 | 3.25501819 |
Sequencial| 0.00002446 | 0.00294460 | 0.34536830 | 1.45369392 | 6.84976594 |
1 CPU     | 0.00920036 | 0.01411576 | 0.20663904 | 0.75671542 | 3.79507497 |
2 CPU     | 0.00979840 | 0.01118348 | 0.18832084 | 0.73132970 | 3.71717745 |
4 CPU     | 0.00986229 | 0.01150912 | 0.19281768 | 0.74938371 | 3.77989097 |
8 CPU     | 0.00965016 | 0.01348772 | 0.19920682 | 0.75187501 | 3.72658436 |
16 CPU    | 0.00971964 | 0.01154370 | 0.22598539 | 0.82501437 | 3.81686906 |
Sequencial| 0.00002590 | 0.00307767 | 0.35895662 | 1.49606704 | 6.58875590 |
1 CPU     | 0.00966609 | 0.01133935 | 0.18489237 | 0.74850951 | 3.71957477 |
2 CPU     | 0.00987021 | 0.01176212 | 0.19167463 | 0.74996688 | 3.35393562 |
4 CPU     | 0.00964445 | 0.01148882 | 0.19024978 | 0.82661027 | 3.71470171 |
8 CPU     | 0.01155355 | 0.01236364 | 0.22308374 | 0.84129289 | 3.94811483 |
16 CPU    | 0.00992246 | 0.01168545 | 0.19251512 | 0.75326040 | 3.81204687 |
Sequencial| 0.00002585 | 0.00291102 | 0.36341854 | 1.48319011 | 6.71111958 |
1 CPU     | 0.01102018 | 0.01268845 | 0.22319615 | 0.79683513 | 3.74600503 |
2 CPU     | 0.00976132 | 0.01146132 | 0.21157697 | 0.77654519 | 3.89696022 |
4 CPU     | 0.00979569 | 0.01143637 | 0.19642429 | 0.76366265 | 3.70781054 |
8 CPU     | 0.00988463 | 0.01147635 | 0.24515338 | 0.77232352 | 3.85109871 |
16 CPU    | 0.00968566 | 0.01201430 | 0.19407232 | 0.74240923 | 3.71171351 |
Sequencial| 0.00002573 | 0.00296363 | 0.35862778 | 1.50579780 | 6.79719309 |
1 CPU     | 0.00979491 | 0.01158901 | 0.18935121 | 0.74857712 | 3.79229880 |
2 CPU     | 0.00963063 | 0.01141376 | 0.19658641 | 0.74229603 | 3.69130068 |
4 CPU     | 0.00958408 | 0.01122835 | 0.19285493 | 0.79835512 | 3.85625561 |
8 CPU     | 0.00985969 | 0.01131811 | 0.18884008 | 0.74568959 | 3.23043118 |
16 CPU    | 0.01001430 | 0.01169183 | 0.19410247 | 0.75368459 | 3.71404048 |
Sequencial| 0.00002612 | 0.00302635 | 0.38353827 | 1.51561658 | 6.85896419 |
1 CPU     | 0.00998365 | 0.01135735 | 0.19079840 | 0.74244329 | 3.72034136 |
2 CPU     | 0.00887669 | 0.01113540 | 0.18781295 | 0.75148295 | 3.69426208 |
4 CPU     | 0.00974333 | 0.01130038 | 0.19044116 | 0.77488668 | 3.72387727 |
8 CPU     | 0.00979363 | 0.01186366 | 0.22513176 | 0.83419938 | 4.10464321 |
16 CPU    | 0.00970103 | 0.01128743 | 0.19101818 | 0.75359824 | 3.79314060 |
Sequencial| 0.00002877 | 0.00293002 | 0.39614185 | 1.54383362 | 6.87637341 |
1 CPU     | 0.01250945 | 0.01318033 | 0.19997190 | 0.81393511 | 3.38653923 |
2 CPU     | 0.00996567 | 0.01152002 | 0.19325244 | 0.76962862 | 3.65642186 |
4 CPU     | 0.01023517 | 0.01208795 | 0.20335495 | 0.79058503 | 3.89846252 |
8 CPU     | 0.00959469 | 0.01146979 | 0.19648109 | 0.74853997 | 3.63544956 |
16 CPU    | 0.01016996 | 0.01174975 | 0.19301858 | 0.74752534 | 3.68785387 |
Sequencial| 0.00002595 | 0.00293909 | 0.40078995 | 1.93224914 | 6.74322885 |
1 CPU     | 0.01132052 | 0.01161074 | 0.18992127 | 0.72966981 | 3.86289549 |
2 CPU     | 0.01126018 | 0.01252606 | 0.18837415 | 0.76464007 | 4.04923866 |
4 CPU     | 0.00947104 | 0.01120136 | 0.19901882 | 0.79505785 | 3.95751088 |
8 CPU     | 0.00970534 | 0.01190375 | 0.19034657 | 0.74252202 | 3.76252566 |
16 CPU    | 0.00983031 | 0.01184419 | 0.19562117 | 0.73853218 | 3.75886010 |
